,0
998,PALLD_HUMAN
999,PCDH7_HUMAN
1000,PLSL_HUMAN
1001,PLST_HUMAN
1002,PSMD9_HUMAN
1003,PTPRG_HUMAN
1004,RBGP1_HUMAN
1005,RL38_HUMAN
1006,RLA2_HUMAN
1007,RN181_HUMAN
1008,RSSA_HUMAN
1009,SAGE1_HUMAN
1010,SC16A_HUMAN
1011,SF3A3_HUMAN
1012,SNX12_HUMAN
1013,SNX3_HUMAN
1014,SRSIP_HUMAN
1015,STA5B_HUMAN
1016,SVIL_HUMAN
1017,TALDO_HUMAN
1018,TXD12_HUMAN
1019,ZN638_HUMAN
1020,GSK3A_HUMAN
1021,GSK3B_HUMAN
1022,PDIA6_HUMAN
1023,RLA1_HUMAN
1024,TR112_HUMAN
1025,AGM1_HUMAN
1026,AN32B_HUMAN
1027,ANXA1_HUMAN
1028,ARHG6_HUMAN
1029,ARHG7_HUMAN
1030,CDK7_HUMAN
1031,CREL2_HUMAN
1032,DDX31_HUMAN
1033,DNLI1_HUMAN
1034,DUS3L_HUMAN
1035,DYL1_HUMAN
1036,ERMIN_HUMAN
1037,IF2P_HUMAN
1038,KAP2_HUMAN
1039,LIMC1_HUMAN
1040,MACF1_HUMAN
1041,MACF4_HUMAN
1042,MFAP1_HUMAN
1043,MOES_HUMAN
1044,MUC18_HUMAN
1045,NUDC_HUMAN
1046,NUFP2_HUMAN
1047,OSBP1_HUMAN
1048,PARG_HUMAN
1049,PKN2_HUMAN
1050,PODXL_HUMAN
1051,PPBN_HUMAN
1052,QRIC2_HUMAN
1053,RANB3_HUMAN
1054,RIC8A_HUMAN
1055,RINI_HUMAN
1056,SGPP1_HUMAN
1057,T2FA_HUMAN
