,Substrate
13021,Q9UD71
13029,Q9UH99
13038,Q9UII2
13050,Q9ULJ8
13053,Q9UMX1
13063,Q9Y233
13066,Q9Y259
13077,Q9Y2K6
13082,Q9Y4C1
13085,Q9Y698
13088,Q9Y6D6
13091,Q9Y6E0
13097,Q9Y6R1
13103,P17948
13125,P05198
13136,P19525
13182,O14958
13186,O43896
13188,P01106
13190,P04198
13195,P07910
13197,P09497
13202,P11836
13206,P13349
13213,P17931
13229,P21673
13233,P24534
13236,P32121
13255,P52655
13260,P55957
13269,P84090
13274,Q01892
13283,Q13144
13288,Q13547
13296,Q16623
13298,Q712K3
13300,Q92598
13308,Q9NZU7
13313,Q9UNN4
13320,Q9Y5B0
13323,P20794
13328,O00303
13336,P21675
13350,Q15545
13357,P21802
13375,P22455
13390,P22607
13528,P15260
13536,P29597
13564,Q13651
13582,Q9Y5X2
13611,A1KXE4
13632,O14497
13637,O14686
13645,O15014
13675,O60271
13678,O60504
13682,O60934
13688,O75179
13709,O75533
13733,O75616
13741,O94776
13806,P06401
13833,P08621
13839,P10244
13866,P10644
13871,P12268
13896,P14859
13950,P20248
13956,P22674
13959,P23258
13965,P23511
13973,P24864
13988,P24941
14004,P28324
14023,P29374
14048,P30050
14065,P31943
14068,P32322
14095,P35269
14106,P38432
14109,P38919
14118,P42677
14135,P48634
14141,P49454
14186,P50750
14192,P51649
14195,P52948
14201,P54198
14216,P55795
14219,P57740
14229,P62324
14232,P62913
14235,P78317
14273,Q02363
14276,Q02535
14285,Q03252
14289,Q04323
14299,Q05516
14304,Q05519
14366,Q0VD86
14377,Q12800
14396,Q12948
14406,Q13242
14411,Q13309
14414,Q13330
14417,Q13352
14432,Q13416
14442,Q13573
14452,Q14191
14458,Q14195
14465,Q14207
14489,Q14839
14498,Q15003
14501,Q15047
14507,Q15554
14540,Q15813
14548,Q15942
14558,Q2NL82
14564,Q4VCS5
14569,Q53ET0
14572,Q53GL7
14575,Q53H80
14580,Q5JTV8
14583,Q5JTZ9
14586,Q5T5Y3
14593,Q6PKG0
14600,Q6UB35
14608,Q71UM5
14611,Q7KZ85
14619,Q7Z417
14622,Q86T82
14625,Q86U86
14630,Q86VM9
14638,Q86XL3
14641,Q86YP4
14644,Q8IWS0
14651,Q8IXM2
14656,Q8IXQ3
14660,Q8IYB3
14668,Q8N3F8
14675,Q8NBZ0
14678,Q8NFC6
14683,Q8TAP6
14686,Q8TAP8
14690,Q8WUM0
14695,Q8WWY3
14701,Q8WXE1
14707,Q8WYH8
14710,Q92547
14713,Q92620
14716,Q92698
14721,Q92785
14726,Q969V6
14736,Q96E09
14739,Q96EA4
14744,Q96II8
14750,Q96RK0
14757,Q99459
14760,Q99504
14765,Q99607
14770,Q99626
14790,Q99741
14800,Q9BUJ2
14803,Q9BVC5
14807,Q9BXR0
14810,Q9BY44
14813,Q9BZL4
14816,Q9C0C2
14821,Q9C0C9
14824,Q9C0D5
14830,Q9H211
14835,Q9H2G4
14845,Q9H3P2
14848,Q9H425
14851,Q9H6K1
14854,Q9H7L9
14859,Q9H8Y8
14862,Q9H910
14865,Q9H9C1
14868,Q9NP87
14871,Q9NPF5
14874,Q9NRH3
14880,Q9NSV4
14892,Q9NYB0
14898,Q9NYV6
14905,Q9P270
14908,Q9P2B4
14914,Q9P2N5
14920,Q9UFC0
14923,Q9UGP5
14932,Q9UIF9
14937,Q9UJU6
14943,Q9UKY1
14949,Q9ULX3
14952,Q9UM11
14963,Q9UPN3
14978,Q9Y253
14981,Q9Y266
14984,Q9Y2J2
14989,Q9Y2K7
14995,Q9Y314
15001,Q9Y676
15006,O76070
15012,P05387
15033,P08172
15076,P18545
15078,P21462
15119,P35372
15136,P51681
15145,Q14940
15164,Q96A54
15171,Q9Y2W7
15179,C9JLW8
15207,O60244
15233,O95817
15275,P04150
15325,P10242
15367,P12980
15370,P13631
15385,P14921
15434,P17861
15452,P20339
15490,P28562
15532,P35658
15549,P41182
15554,P41212
15585,P42702
15589,P43364
15605,P49715
15630,P49815
15637,P50616
15653,P53355
15656,P53805
15667,P56270
15683,P62070
15713,Q02447
15752,Q12772
15759,Q12931
15768,Q13164
15783,Q13485
15790,Q13614
15826,Q14934
15834,Q15046
15845,Q15596
15854,Q15672
15864,Q15788
15889,Q16254
15894,Q16559
15897,Q16584
15902,Q16690
15909,Q16828
15933,Q86UC2
15968,Q8N9N5
15973,Q8NET8
15986,Q92797
15989,Q92908
16020,Q96Q27
16030,Q9BR01
16033,Q9BUB5
16050,Q9NRA0
16058,Q9NYA1
16074,Q9UHB6
16081,Q9UIG0
16103,Q9UPT5
16139,Q99689
16183,O43623
16210,O94953
16221,O95600
16233,P00558
16305,P07196
16324,P09874
16355,P11308
16378,P12036
16485,P19878
16521,P26651
16553,P30041
16612,P37231
16641,P43354
16654,P46695
16668,P49137
16724,P50548
16747,P51170
16759,P52945
16823,Q02224
16869,Q07889
16924,Q13285
16975,Q13625
16989,Q14686
17028,Q15700
17110,Q5JQC9
17113,Q5T447
17122,Q7L5N1
17174,Q8NHW3
17203,Q96EP5
17213,Q96I25
17218,Q96LC9
17233,Q96RS0
17244,Q9BTL3
17250,Q9BY84
17297,Q9NZ72
17322,Q9Y463
17343,P29317
17374,P29320
17385,P29322
17398,P29323
17404,P52799
17411,O15304
17416,P17181
17482,P30530
17510,Q96JJ3
17513,P31152
17522,O14492
17554,O43464
17592,O75030
17605,O96028
17658,P09601
17662,P09651
17704,P15976
17726,P19484
17745,P21453
17771,P29375
17782,P29401
17807,P35226
17843,P41002
17848,P41279
