kinase,num_random_aa,random_aa,kinase_type
CDK18,17,"exclude S, T, C",ST kinase
PDHK1,16,"exclude S, T, C, Y",ST kinase
PDHK4,16,"exclude S, T, C, Y",ST kinase
PDK1,17,"exclude S, T, C",ST kinase
PERK,17,"exclude S, T, C",ST kinase
CDK14,17,"exclude S, T, C",ST kinase
PHKG1,17,"exclude S, T, C",ST kinase
PHKG2,17,"exclude S, T, C",ST kinase
PIM1,17,"exclude S, T, C",ST kinase
PIM2,17,"exclude S, T, C",ST kinase
PIM3,17,"exclude S, T, C",ST kinase
PINK1,17,"exclude S, T, C",ST kinase
PKACA,17,"exclude S, T, C",ST kinase
PKACB,17,"exclude S, T, C",ST kinase
PKACG,17,"exclude S, T, C",ST kinase
PKCA,17,"exclude S, T, C",ST kinase
PKCB,17,"exclude S, T, C",ST kinase
PKCD,17,"exclude S, T, C",ST kinase
PKCE,17,"exclude S, T, C",ST kinase
PKCG,17,"exclude S, T, C",ST kinase
PKCH,17,"exclude S, T, C",ST kinase
PKCI,17,"exclude S, T, C",ST kinase
PKCT,17,"exclude S, T, C",ST kinase
PKCZ,17,"exclude S, T, C",ST kinase
PRKD1,17,"exclude S, T, C",ST kinase
PRKD2,17,"exclude S, T, C",ST kinase
PRKD3,17,"exclude S, T, C",ST kinase
PKG1,17,"exclude S, T, C",ST kinase
PKG2,17,"exclude S, T, C",ST kinase
PKN1,17,"exclude S, T, C",ST kinase
PKN2,17,"exclude S, T, C",ST kinase
PKN3,17,"exclude S, T, C",ST kinase
PKR,17,"exclude S, T, C",ST kinase
PLK1,17,"exclude S, T, C",ST kinase
PLK2,17,"exclude S, T, C",ST kinase
PLK3,17,"exclude S, T, C",ST kinase
PLK4,17,"exclude S, T, C",ST kinase
PRKX,17,"exclude S, T, C",ST kinase
PRP4,17,"exclude S, T, C",ST kinase
PRPK,17,"exclude S, T, C",ST kinase
QIK,17,"exclude S, T, C",ST kinase
QSK,17,"exclude S, T, C",ST kinase
RAF1,17,"exclude S, T, C",ST kinase
GRK1,17,"exclude S, T, C",ST kinase
RIPK1,17,"exclude S, T, C",ST kinase
RIPK2,17,"exclude S, T, C",ST kinase
RIPK3,17,"exclude S, T, C",ST kinase
ROCK1,17,"exclude S, T, C",ST kinase
ROCK2,17,"exclude S, T, C",ST kinase
P90RSK,17,"exclude S, T, C",ST kinase
RSK2,17,"exclude S, T, C",ST kinase
RSK3,17,"exclude S, T, C",ST kinase
RSK4,17,"exclude S, T, C",ST kinase
SBK,17,"exclude S, T, C",ST kinase
MYLK4,17,"exclude S, T, C",ST kinase
SGK1,17,"exclude S, T, C",ST kinase
SGK3,17,"exclude S, T, C",ST kinase
DSTYK,17,"exclude S, T, C",ST kinase
SIK,17,"exclude S, T, C",ST kinase
SKMLCK,17,"exclude S, T, C",ST kinase
SLK,17,"exclude S, T, C",ST kinase
SMG1,17,"exclude S, T, C",ST kinase
SMMLCK,17,"exclude S, T, C",ST kinase
SNRK,17,"exclude S, T, C",ST kinase
SRPK1,17,"exclude S, T, C",ST kinase
SRPK2,17,"exclude S, T, C",ST kinase
SSTK,17,"exclude S, T, C",ST kinase
STK33,17,"exclude S, T, C",ST kinase
STLK3,17,"exclude S, T, C",ST kinase
TAK1,17,"exclude S, T, C",ST kinase
TAO1,17,"exclude S, T, C",ST kinase
TAO2,17,"exclude S, T, C",ST kinase
TAO3,17,"exclude S, T, C",ST kinase
TBK1,17,"exclude S, T, C",ST kinase
TGFBR1,17,"exclude S, T, C",ST kinase
TGFBR2,17,"exclude S, T, C",ST kinase
TLK1,17,"exclude S, T, C",ST kinase
TLK2,17,"exclude S, T, C",ST kinase
TNIK,17,"exclude S, T, C",ST kinase
TSSK1,17,"exclude S, T, C",ST kinase
TSSK2,17,"exclude S, T, C",ST kinase
TTBK1,17,"exclude S, T, C",ST kinase
TTBK2,17,"exclude S, T, C",ST kinase
TTK,17,"exclude S, T, C",ST kinase
ULK1,17,"exclude S, T, C",ST kinase
ULK2,17,"exclude S, T, C",ST kinase
VRK1,17,"exclude S, T, C",ST kinase
VRK2,17,"exclude S, T, C",ST kinase
WNK1,17,"exclude S, T, C",ST kinase
WNK3,17,"exclude S, T, C",ST kinase
WNK4,17,"exclude S, T, C",ST kinase
YANK2,17,"exclude S, T, C",ST kinase
YANK3,17,"exclude S, T, C",ST kinase
YSK1,17,"exclude S, T, C",ST kinase
ZAK,17,"exclude S, T, C",ST kinase
EEF2K,17,"exclude S, T, C",ST kinase
FAM20C,17,"exclude S, T, C",ST kinase
