kinase,PCA1,PCA2,PCA3,PCA4,PCA5,PCA6,PCA7,PCA8,PCA9,PCA10,PCA11,PCA12,PCA13,PCA14,PCA15,PCA16,PCA17,PCA18,PCA19,PCA20,PCA21,PCA22,PCA23,PCA24,PCA25,PCA26,PCA27,PCA28,PCA29,PCA30,PCA31,PCA32
PBK,1.3864813579799704,0.5232067581645093,-0.5131427138517456,0.433245764664472,0.9277630369113874,-0.5385713369957469,0.15808184942284037,0.41775653199604135,0.3618079526646287,-0.09164552787747896,0.1009824965011174,-0.021664816285055694,-0.29394718690866334,-0.05797613517493308,0.08171118631807994,-0.1612565042896749,-0.04615311291932565,-0.04834906095761344,-0.15286676070726396,-0.25440299141210576,-0.23752128689284646,-0.20844607158238554,0.20809076573073373,-0.26748017991896605,0.03965750676818224,-0.10647485445603151,0.12628260150105672,0.0057589619875645795,0.05420325536570077,-0.05202794763621176,-0.05439802675862051,-0.030371594732329688
PDHK1,-1.8548280962297037,-0.4869265847959121,-0.02026898175731789,0.5748825002648814,-0.5059663307009935,0.8749226140481113,-0.38851248447082615,0.23693200927981775,0.3964941552938143,0.09204875015432354,0.22521617080882936,0.15543520592522653,0.14461204429229363,0.10631261018859076,-0.043046517519245535,-0.3023739200368487,-0.11790915129441108,-0.029346238485927954,0.3356393650977369,-0.13414792656818147,-0.017099638302697114,0.2951914605770784,0.26933888200357997,-0.05288559476798378,0.317550179755542,0.13063106747015937,-0.13302486278304676,0.10124839023140092,-0.10163568696833274,-0.18969404712804738,-0.277574913314823,-0.06262318600364812
PDHK4,-1.782363781739984,-0.6458537580447826,-0.21421043184373514,0.767971134085441,-0.46027988742691,0.7773731107786195,-0.5536541471980062,0.2039372077970223,0.3051371721427351,0.1722945444564453,0.21190695592212777,0.21846697527021072,0.2842399753844082,0.04353701006337528,-0.015121970000421765,-0.23918882651412882,-0.15676904065934982,0.03966806480601711,0.3263450264000558,-0.2512283444566026,0.05880307759254137,0.28702834694394436,0.27564419620050207,-0.18768360908624945,0.2768657392433161,0.02129376565913671,-0.08421290702392208,0.1978638806209263,-0.136226885626255,-0.02011103449508274,-0.40750287260661394,-0.06311051608232904
PDK1,-0.19675475795466624,0.1403540301468868,0.09829442421687153,-0.2702439054197712,0.22837062186091536,0.06432030143272383,-0.14272049006649498,-0.09988638254596338,-0.12339617549897683,-0.19870237473545516,0.12718302877241705,-0.20053931564760488,0.07773850277390519,-0.0917520358352469,0.04966664561723501,0.07389465652714153,0.07518964261495449,-0.12383983726818056,0.060865835234106026,-0.02022101601885248,0.08241647794033347,-0.028284027037968746,-0.022279729365851916,0.0001604511040253496,0.1616086310163853,-0.1317764884064065,-0.0098495696409762,-0.09456475020082974,-0.015461315460267166,-0.03988970747466674,-0.06380623504140454,0.05382869294197915
PHKG1,-1.2603270928982182,-0.497471941237498,-0.10920763111059394,-0.2726675707428945,0.1954038675304494,0.040813212624075876,0.0017818115040918788,0.07307409046079717,-0.09647357463338779,0.029045778375033145,0.26063869114338295,0.01918161090713275,-0.03794746214331757,0.24191802720233344,-0.22262059612042728,0.189227159119736,0.07488084694231839,0.04886656533631544,0.14375038661213746,-0.016119150227959143,0.1084902334109287,-0.1554227177060858,-0.14243448586890078,0.004879187231777531,-0.054134043772470025,0.024177247570435382,-0.039378726292504544,-0.06493758007440624,0.17055662339860936,-0.04282146904675289,-0.1206640139226357,-0.041571199862291165
PHKG2,-0.4172095707041377,-1.289395358466859,0.4546375994165341,-0.21738856583325097,0.24068719976400077,0.35945617207414404,-0.022306284305294008,0.14191961110596735,-0.05212268743492767,0.28488239367671203,0.1899945816628206,0.013662031241844104,-0.05416604902685639,0.09321984892282878,-0.17734511381067378,0.09346627447599813,0.01212448246905191,0.03336180442236548,0.021669503150469702,-0.04154545350472814,0.08326488352359206,-0.21897605813517318,-0.19265904791114133,0.08750163286549582,-0.11437595645640286,-0.15641929149483894,-0.02618535591328125,0.09126289842480197,0.023192444758987223,0.006454654653628125,-0.06585413497322488,0.08376743386378713
PIM1,0.19312108765976832,-0.009329233446220648,0.9329616508978938,-0.04045654525008979,0.02846858683140422,-0.5081058846620123,-0.2619960134780569,-0.219672530719786,-0.10163498964117298,0.12226961881906756,-0.013916707491054949,0.19516551285786357,0.09825908679241667,0.21317618564882382,-0.12007269834133333,-0.1257405941454231,0.020545751195642545,0.06265427213659928,-0.08672356802817438,-0.29322072580609926,-0.10364938125850379,-0.02345736652091628,-0.11833755825684635,-0.025806147228965348,0.02406532518388786,-0.1569435851416351,-0.0702976790722308,0.08501420144418605,-0.01972603473918002,-0.06584028905840346,0.02017207451156699,0.10862945344557287
PIM2,0.58528415884053,0.17372020669510646,1.8486887008976354,-0.3018357779331386,-0.006568767156499009,-0.29657907459992333,-0.07269494532335696,-0.28356747948829497,-0.0699862768669785,0.07847444867286835,-0.1669404960870639,0.20552585264948312,-0.1498724202005159,0.1339352942730387,-0.06634967027113962,-0.15148831323495915,0.041310919955129095,0.06736293907556787,0.005724533598571783,-0.5129376637719328,-0.196588077519783,-0.11208743106775998,0.1957578739614393,-0.35553672853061435,0.07626285561985584,-0.1351420260611853,0.036324291181581925,0.1358164837661112,0.05696791442536509,0.029691103146353745,0.06884950469298975,0.05489158440488106
PIM3,0.03745763004592608,-0.21277673351175228,1.0392707338353526,0.008454603844354166,-0.27949821358877236,0.07548602190907713,0.10891671926916952,0.03507710327994234,0.3129330877391863,0.06685902220107418,-0.00824470263359518,0.201722979540956,-0.19276672261851227,0.22065672243162449,-0.014801772741660576,-0.28501666179307944,-0.22587993044702584,-0.09656506231060838,-0.45893004847451613,-0.1544668505496666,-0.016862743273618693,-0.1896615137458281,-0.07341527889542539,-0.050757920603741666,-0.00617653868234677,0.022371227731905703,-0.02686695025349483,0.11145712426932514,-0.16440276253547148,0.04659343410936939,0.1909955039398642,0.12909195624597297
PINK1,-1.1738372617104376,0.27272623583282984,-0.3503293331449499,0.8117288193925076,0.047057339217830146,-0.24845725542361466,-0.556154038383652,0.18005636602510075,0.20533121512589356,-0.0868677778995171,0.13206706849862723,0.23906605544912748,0.04289936053276851,0.13404442706587438,-0.001190798164882549,-0.10216861449274124,-0.27040767709582597,-0.21491592203485088,0.012825375347309641,-0.17520859944200762,0.013040566147435135,-0.23100126021367043,0.17290907888461388,0.10402433959610659,0.07543758044053615,-0.0053824655584475654,0.06036677971299288,-0.3675033320544455,0.015330649105137257,0.18437501547514812,0.17916070209636922,-0.1584866072758412
PKN1,1.705104097779935,0.8918469353435075,0.4656744612244649,-0.817946045756805,0.07314870442197463,0.001869849733012064,0.10229392161757836,-0.17930963308681397,0.421497353622645,-0.020067542247489665,0.16963476529943725,0.16073433243214555,0.039970708520465366,-0.019738651924287882,-0.007467945099373198,-0.2672571314926765,-0.18487113111418269,0.041982281825292796,-0.06698372967527196,0.1830500482785712,-0.13857750730906204,0.0012595055993295538,-0.04548087735267656,-0.20178643913191213,-0.0535930967231974,-0.011892999399679001,-0.1380620988670513,-0.10765786859052075,0.03661198780387625,0.07830866759989556,-0.020043216922157794,0.08289854670350849
PKN2,2.066729454460479,0.9191057052271719,-0.21923907815151075,-0.7493964059937314,0.15306699998394416,-0.03705330299997388,0.0038905366322322054,-0.16903444792173955,0.2295208326868136,-0.11102893658931459,0.3125120615749557,0.0041886433586755594,0.10239020426968429,0.039662586079280124,-0.11587347557077592,-0.14610108511518283,-0.19819395941988652,0.09160525181538787,-0.10853770778047463,0.06768795131497794,-0.06987136420686174,0.09217787222247896,-0.07706770981177447,-0.17708578266393488,-0.03568157866270128,-0.043123448807968486,-0.19238155203665172,-0.07374886718517044,0.06655757264807344,0.05506631885864866,-0.09752969857000675,0.06639510758904313
PKN3,0.2654555897504535,0.6124749952887405,1.6283858262134259,-0.127559537141928,-0.12918888310215415,0.5581040440563688,-0.22152966666807458,-0.3761312428422496,-0.05747964342937984,-0.13783408158747784,-0.21146365371078485,-0.10626931150431042,-0.06773581028543316,0.11038144901453534,0.025929808076365187,-0.0023743176156968155,0.05636562511551984,0.11470544913806383,0.16174199686953536,-0.06727191965416404,-0.010652185319100876,-0.10904314381153375,0.34005831191825087,-0.42729651311835926,-0.08097360777657481,0.07748672949065759,0.11254441182905986,-0.013221117510361991,0.14905210026466192,0.2946931130902193,0.031522126616582866,-0.0070039566511754065
